,Borough,Neighborhood,ID,Name
0,Bronx,Eastchester,4dabc3dc93a04642f09ccabd,Xing Lung Chinese Restaurant
1,Bronx,Pelham Parkway,4b9d6b45f964a52078ab36e3,Mr. Q's Chinese Restaurant
2,Bronx,Bedford Park,4e4d0387bd413c4cc66dfd72,Hung Hing Chinese Restaurant
3,Bronx,High  Bridge,4da0c70b7aee5481bda6b2fe,wah yong
4,Bronx,Melrose,4dded2c945dd033c3937f203,Hing Wong
5,Bronx,Mott Haven,4df3e68688772e1f81559d14,Good Choice Chinese Restaurant
6,Bronx,Soundview,4cc63e36bde8f04dcbfeb54b,Golden City Chinese Restaurant
7,Bronx,Soundview,4e656e8252b1260c14683b4b,Kee Hing Restaurant
8,Bronx,Parkchester,4b89b62df964a520ff4c32e3,Sabor Latino Seafood Restaurant
9,Bronx,Parkchester,4da9c2358154abafc29ba5d8,L & Y Wing Hing Chinese Restaurant
10,Bronx,North Riverdale,4ca4fda4d971b1f77da5f2e0,Golden Phoenix Chinese Restaurant
11,Bronx,Pelham Bay,4b5f3d97f964a52074af29e3,Lee Xing
12,Bronx,Olinville,4c102bf0ce640f471a8d3952,k & Q Chinese Food
13,Bronx,Pelham Gardens,4eadecbf9911d5c95181ee84,Yummy House
14,Bronx,Concourse,4d9a695ee5fd6ea8e3096df5,Lucky House Chinese Restaurant
15,Bronx,Concourse,4e1a1a3252b123a586e6db52,Eastern Chinese Style
16,Brooklyn,Bay Ridge,5553702c498ecb85f99d8f37,XIN
17,Brooklyn,Bay Ridge,550efe11498e5b02d83a5e54,Xin Bay Ridge
18,Brooklyn,Bay Ridge,4bb644f72f70c9b6c0268530,Dragon China
19,Brooklyn,Bensonhurst,4bd60f4c4e32d13a6000c280,Taste Of China
20,Brooklyn,Bensonhurst,4c2169947e85c928b88aba21,Panda Chinese Restaurant
21,Brooklyn,Greenpoint,4abd867df964a520d78a20e3,Shang Hai Lee
22,Brooklyn,Manhattan Terrace,4d91f9a1d7b1236a6e343c38,Golden chopsticks
23,Brooklyn,Flatbush,4ce6db6f9f776ea8f2505422,Family Garden Chinese Food
24,Brooklyn,East Flatbush,4c6b208e0c3ac9b6be76d138,China Express
25,Brooklyn,Windsor Terrace,54e39b14498e9c646b42958e,East Wind Snack Shop
26,Brooklyn,Windsor Terrace,4c06e2470e0a2d7fdf8aec0c,#1 Garden Chinese Food
27,Brooklyn,Brooklyn Heights,4a9ac078f964a5207c3220e3,Fortune House
28,Brooklyn,Brooklyn Heights,4a986a9cf964a520e82b20e3,Great Wall Chinese Food
29,Brooklyn,Carroll Gardens,4b09dc38f964a520cf1e23e3,Ting Hua
30,Brooklyn,Gowanus,4c60a7cede6920a15f9d9664,Michael and Ping's
31,Brooklyn,Park Slope,49bb541ff964a520e3531fe3,Hunan Delight
32,Brooklyn,Cypress Hills,4f326c1a19836c91c7d64648,Wo Hop Chinese Restaurant
33,Brooklyn,East New York,4c818737d8086dcb1c0f6e52,Wah On
34,Brooklyn,East New York,4dd1b576c65b9d071f8c6ac1,Golden Horse Restaurant
35,Brooklyn,Bath Beach,4d4a03494509721eab1d2ab0,Welcome Seafood Restaurant
36,Brooklyn,Marine Park,4c5075d73940be9ae2124a07,new grand wok
37,Brooklyn,Clinton Hill,4a71ff01f964a52016da1fe3,Kum Kau
38,Brooklyn,Clinton Hill,521bf3b711d2dce4f1b42195,Hardee
39,Brooklyn,Downtown,59da9590e1f0aa52976b8f35,Han Dynasty
40,Brooklyn,Downtown,5db3649a8d15ba00089b4e9b,Xi'an Famous Foods
41,Brooklyn,Downtown,585d72449f25836f2b2b7a1b,Xifu Food
42,Brooklyn,Boerum Hill,585d72449f25836f2b2b7a1b,Xifu Food
43,Brooklyn,North Side,58df00318cfe546addb99246,Birds of a Feather
44,Brooklyn,South Side,54b318a1498eb29e9541053a,Wei Williamsburg
45,Brooklyn,Fort Hamilton,4b512cbaf964a520f64527e3,ha ha chinese
46,Brooklyn,Fort Hamilton,4c61d131de1b2d7f7ed5e070,Mid China
47,Brooklyn,Fort Hamilton,4cb0fb23eb65b1f7c61871cd,Panda Garden
